Model Combination,Weights,Dataset,mAP50-95,mAP50,Precision,Recall
clear_model_&_medium_model,0.8:0.2,test_foggy,0.4215,0.5871,0.7725,0.4995
clear_model_&_medium_model,0.2:0.8,test_foggy,0.4241,0.5858,0.7701,0.4984
light_model_&_heavy_model,0.6:0.4,test_foggy,0.4251,0.5924,0.7487,0.5036
light_model_&_heavy_model,0.3:0.7,test_foggy,0.4233,0.5904,0.7613,0.4984
light_model_&_heavy_model,0.4:0.6,test_foggy,0.4243,0.59,0.7482,0.5011
light_model_&_heavy_model,0.5:0.5,test_foggy,0.4246,0.5898,0.7476,0.502
light_model_&_heavy_model,0.7:0.3,test_foggy,0.4244,0.5891,0.7483,0.5033
light_model_&_heavy_model,0.2:0.8,test_foggy,0.4215,0.589,0.786,0.4876
light_model_&_heavy_model,0.8:0.2,test_foggy,0.4223,0.5868,0.7475,0.5009
light_model_&_medium_model,0.4:0.6,test_foggy,0.426,0.5896,0.7519,0.503
light_model_&_medium_model,0.6:0.4,test_foggy,0.4256,0.5886,0.7514,0.5028
light_model_&_medium_model,0.3:0.7,test_foggy,0.425,0.5884,0.7506,0.5019
light_model_&_medium_model,0.5:0.5,test_foggy,0.4255,0.5881,0.7504,0.5016
light_model_&_medium_model,0.2:0.8,test_foggy,0.4232,0.5874,0.7508,0.5011
light_model_&_medium_model,0.7:0.3,test_foggy,0.424,0.5867,0.7516,0.5018
light_model_&_medium_model,0.8:0.2,test_foggy,0.4223,0.586,0.7523,0.5012
medium_model_&_heavy_model,0.4:0.6,test_foggy,0.427,0.5961,0.7568,0.5095
medium_model_&_heavy_model,0.3:0.7,test_foggy,0.4269,0.5958,0.7574,0.5089
medium_model_&_heavy_model,0.6:0.4,test_foggy,0.4267,0.5957,0.7528,0.5093
medium_model_&_heavy_model,0.7:0.3,test_foggy,0.426,0.5949,0.7532,0.5094
medium_model_&_heavy_model,0.5:0.5,test_foggy,0.4269,0.5948,0.7528,0.5079
medium_model_&_heavy_model,0.2:0.8,test_foggy,0.4255,0.5941,0.7558,0.5071
medium_model_&_heavy_model,0.8:0.2,test_foggy,0.4236,0.5919,0.7527,0.507
clear_model_&_heavy_model,0.6:0.4,test_mix,0.4401,0.6171,0.7565,0.5271
clear_model_&_heavy_model,0.7:0.3,test_mix,0.4401,0.6167,0.7569,0.5272
clear_model_&_heavy_model,0.5:0.5,test_mix,0.4394,0.6165,0.7552,0.5262
clear_model_&_heavy_model,0.4:0.6,test_mix,0.4385,0.6153,0.7554,0.5254
clear_model_&_heavy_model,0.8:0.2,test_mix,0.4378,0.615,0.7583,0.5264
clear_model_&_heavy_model,0.3:0.7,test_mix,0.4357,0.6113,0.7542,0.5246
clear_model_&_heavy_model,0.2:0.8,test_mix,0.4318,0.6094,0.7551,0.523
clear_model_&_light_model,0.6:0.4,test_mix,0.4441,0.617,0.7568,0.5257
clear_model_&_light_model,0.5:0.5,test_mix,0.4451,0.6166,0.7562,0.5251
